#FILE:                       ,sws-10k.dsv          
#FORMAT:                     ,NETZSCH5             
#IDENTITY:                   ,1                    
#DECIMAL:                    ,POINT                
#SEPARATOR:                  ,COMMA                
#MTYPE:                      ,DTA                  
#MSUBTYPE:                   ,                     
#INSTRUMENT:                 ,NETZSCH STA 409 PC/PG
#PROJECT:                    ,                     
#DATE/TIME:                  ,2002-1-2 15:27:37    
#CORR. FILE:                 ,10k.bsv              
#LABORATORY:                 ,                     
#OPERATOR:                   ,1                    
#REMARK:                     ,                     
#SAMPLE:                     ,1                    
#SAMPLE MASS /mg:            ,29.908               
#MATERIAL:                   ,                     
#REFERENCE:                  ,yes                  
#REFERENCE MASS /mg:         ,0.000                
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                
#REFERENCE CRUCIBLE MASS /mg:,0.000                
#GAS 1:                      ,                     
#FLOW RATE 1:                ,                     
#GAS 2:                      ,air                  
#FLOW RATE 2 /(ml/min):      ,50                   
#CORR. CODE:                 ,820                  
#EXO:                        ,+1                   
#RANGE:                      ,30/10.0(K/min)/1000  
#SEGMENT:                    ,S1/1                 

##Temp./°„C,Time/min,DTA/(uV/mg),Mass/%,DTG/(%/min),Sensit./(¶ÃV/mW)
 32.61400,0.0000e+000, 2.4846e-002,100.00000, 2.0700e-002,1.00000
 35.11400,    2.53022,-3.6006e-002,100.03764, 2.5245e-002,1.00000
 37.61400,    3.00988,-6.7359e-002,100.05146, 3.2234e-002,1.00000
 40.11400,    3.36243,-9.3221e-002,100.06354, 3.5870e-002,1.00000
 42.61400,    3.65735,    -0.11594,100.07430, 3.6547e-002,1.00000
 45.11400,    3.91687,    -0.13632,100.08360, 3.4601e-002,1.00000
 47.61400,    4.15303,    -0.15492,100.09135, 3.0483e-002,1.00000
 50.11400,    4.37419,    -0.17219,100.09748, 2.4589e-002,1.00000
 52.61400,    4.58139,    -0.18810,100.10187, 1.7411e-002,1.00000
 55.11400,    4.78047,    -0.20304,100.10455, 9.2202e-003,1.00000
 57.61400,    4.97122,    -0.21695,100.10548, 4.4532e-004,1.00000
 60.11400,    5.15692,    -0.23004,100.10473,-8.6808e-003,1.00000
 62.61400,    5.33710,    -0.24227,100.10235,-1.7810e-002,1.00000
 65.11400,    5.51440,    -0.25381,100.09839,-2.6820e-002,1.00000
 67.61400,    5.68897,    -0.26466,100.09294,-3.5546e-002,1.00000
 70.11400,    5.86117,    -0.27483,100.08609,-4.3916e-002,1.00000
